customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50000,8,Month-to-month,44.3,309.51,DSL,No,No,No,Electronic check,No,0,No,Yes,Yes,No,1,30.45,0,0,1
CUST50001,24,Month-to-month,100.38,2196.66,Fiber optic,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,Yes,3,57.32,0,1,1
CUST50002,10,Month-to-month,106.34,974.7,DSL,Yes,No,Yes,Bank transfer (auto),Yes,0,No,Yes,Yes,No,0,6.47,0,0,1
CUST50003,72,Month-to-month,64.87,4283.95,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,No,Yes,No,1,0.0,0,0,1
CUST50004,42,Month-to-month,110.74,3971.34,DSL,Yes,Yes,Yes,Electronic check,No,0,Yes,No,Yes,No,1,26.51,0,1,0
CUST50005,26,Month-to-month,54.18,1376.1,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,Yes,Yes,No,No phone service,1,0.0,0,0,1
CUST50006,72,Two year,44.23,3231.35,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,No,Yes,No,5,0.0,1,0,0
CUST50007,16,Month-to-month,108.6,1524.89,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,1,No,No,Yes,Yes,0,0.0,0,1,0
CUST50008,36,One year,115.66,4048.26,DSL,No,Yes,Yes,Mailed check,No,0,No,Yes,Yes,Yes,1,25.35,0,1,0
CUST50009,29,Month-to-month,35.24,1032.47,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,No,No,No phone service,0,23.42,0,0,0
CUST50010,7,Two year,39.66,241.82,Fiber optic,Yes,No,Yes,Bank transfer (auto),No,0,Yes,No,Yes,No,2,12.67,1,0,0
CUST50011,19,Month-to-month,42.5,703.9,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,No,1,0.0,0,1,1
CUST50012,10,Two year,79.08,825.94,Fiber optic,No,Yes,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,0,8.86,0,2,0
CUST50013,7,Two year,22.6,162.63,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,Yes,No,No phone service,2,21.5,0,1,0
CUST50014,18,Month-to-month,48.46,818.11,DSL,No,Yes,No,Credit card (auto),No,0,Yes,Yes,Yes,No,0,9.45,2,0,1
CUST50015,7,One year,84.38,560.29,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,Yes,3,59.86,1,1,0
CUST50016,9,One year,83.87,701.68,DSL,No,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,Yes,0,71.82,0,0,0
CUST50017,1,Month-to-month,24.73,21.36,Fiber optic,No,No,Yes,Bank transfer (auto),No,0,No,Yes,Yes,No,0,9.38,1,0,1
CUST50018,56,Two year,101.16,5335.72,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,Yes,No,Yes,No,1,29.45,0,1,0
CUST50019,3,Month-to-month,93.6,259.75,DSL,No,No,Yes,Mailed check,Yes,0,No,Yes,Yes,Yes,2,42.65,0,0,1
