feature,coefficient,abs_coefficient
contract_type_Month-to-month,0.7806118362637382,0.7806118362637382
contract_type_Two year,-0.46701226791083217,0.46701226791083217
payment_method_Electronic check,0.4038367857843051,0.4038367857843051
contract_type_One year,-0.4037884950858535,0.4037884950858535
tenure_months,-0.3352806111929428,0.3352806111929428
support_calls_3mo,0.31374616711064274,0.31374616711064274
internet_service_DSL,-0.2976048142256691,0.2976048142256691
internet_service_Fiber optic,0.2375332399881375,0.2375332399881375
payment_method_Credit card (auto),-0.22444687452421228,0.22444687452421228
tech_support_Yes,-0.21008744969819199,0.21008744969819199
monthly_charges,0.20178781209527927,0.20178781209527927
payment_method_Mailed check,-0.16924243244835308,0.16924243244835308
tech_support_No,0.1500158754606631,0.1500158754606631
late_payments_6mo,0.1291370336074892,0.1291370336074892
payment_method_Bank transfer (auto),-0.10033640554467937,0.10033640554467937
paperless_billing_No,-0.09902375100099782,0.09902375100099782
total_charges,-0.09639632777474513,0.09639632777474513
phone_service_Yes,-0.07781705646683616,0.07781705646683616
online_security_Yes,-0.06154096431966345,0.06154096431966345
partner_No,-0.054953948076224134,0.054953948076224134
